les Escaldes	42.50729	1.53414	AD	1033	Europe/Andorra
Andorra la Vella	42.50779	1.52109	AD	1037	Europe/Andorra
Umm al Qaywayn	25.56473	55.55517	AE	2	Asia/Dubai
Ras al-Khaimah	25.78953	55.9432	AE	2	Asia/Dubai
Khawr Fakkan	25.33132	56.34199	AE	20	Asia/Dubai
Dubai	25.25817	55.30472	AE	11	Asia/Dubai
Diba	25.61955	56.27291	AE	4	Asia/Dubai
Sharjah	25.33737	55.41206	AE	6	Asia/Dubai
Ar Ruways	24.11028	52.73056	AE	16	Asia/Dubai
Al Fujayrah	25.11641	56.34141	AE	15	Asia/Dubai
Al Ain	24.19167	55.76056	AE	275	Asia/Dubai
Ajman	25.41111	55.43504	AE	4	Asia/Dubai
Adh Dhayd	25.28812	55.88157	AE	114	Asia/Dubai
Abu Dhabi	24.46667	54.36667	AE	6	Asia/Dubai
Zaranj	30.95962	61.86037	AF	489	Asia/Kabul
Taloqan	36.73605	69.53451	AF	801	Asia/Kabul
Shindand	33.30294	62.1474	AF	1071	Asia/Kabul
Shibirghan	36.66757	65.7529	AF	360	Asia/Kabul
Shahrak	34.10738	64.3052	AF	2357	Asia/Kabul
Sar-e Pul	36.21544	65.93249	AF	636	Asia/Kabul
Sang-e Charak	35.84972	66.43694	AF	1483	Asia/Kabul
Aibak	36.26468	68.01551	AF	969	Asia/Kabul
Rustaq	37.12604	69.83045	AF	1314	Asia/Kabul
Qarqin	37.41853	66.04358	AF	263	Asia/Kabul
Qarawul	37.21959	68.7802	AF	337	Asia/Kabul
Pul-e Khumri	35.94458	68.71512	AF	638	Asia/Kabul
Paghman	34.58787	68.95091	AF	2328	Asia/Kabul
Nahrin	36.0649	69.13343	AF	1138	Asia/Kabul
Maymana	35.92139	64.78361	AF	864	Asia/Kabul
Mehtar Lam	34.67139	70.20944	AF	795	Asia/Kabul
Mazar-e Sharif	36.70904	67.11087	AF	361	Asia/Kabul
Lashkar Gah	31.59382	64.37161	AF	786	Asia/Kabul
Kushk	33.29565	61.95221	AF	1115	Asia/Kabul
Kunduz	36.72896	68.857	AF	402	Asia/Kabul
Khost	33.33951	69.92041	AF	1183	Asia/Kabul
Khulm	36.69736	67.69826	AF	445	Asia/Kabul
Khash	31.52919	62.79055	AF	579	Asia/Kabul
Khanabad	36.6825	69.11556	AF	503	Asia/Kabul
Karukh	34.48108	62.5863	AF	1340	Asia/Kabul
Kandahar	31.61332	65.71013	AF	1007	Asia/Kabul
Kabul	34.52813	69.17233	AF	1798	Asia/Kabul
Jalalabad	34.42647	70.45153	AF	575	Asia/Kabul
Jabal os Saraj	35.11833	69.23778	AF	1612	Asia/Kabul
Herat	34.34817	62.19967	AF	927	Asia/Kabul
Ghormach	35.73062	63.78264	AF	659	Asia/Kabul
Ghazni	33.55391	68.42096	AF	2179	Asia/Kabul
Gereshk	31.82089	64.57005	AF	830	Asia/Kabul
Gardez	33.59744	69.22592	AF	2308	Asia/Kabul
Fayzabad	37.11664	70.58002	AF	1210	Asia/Kabul
Farah	32.37451	62.11638	AF	662	Asia/Kabul
Kafir Qala	34.66667	61.06667	AF	726	Asia/Kabul
Charikar	35.01361	69.17139	AF	1554	Asia/Kabul
Baraki Barak	33.96744	68.9492	AF	1940	Asia/Kabul
Bamyan	34.82156	67.82734	AF	2550	Asia/Kabul
Balkh	36.75635	66.8972	AF	348	Asia/Kabul
Baghlan	36.13068	68.70829	AF	531	Asia/Kabul
Art Khwajah	37.08571	69.47958	AF	481	Asia/Kabul
Asmar	35.03333	71.35809	AF	913	Asia/Kabul
Asadabad	34.87311	71.14697	AF	837	Asia/Kabul
Andkhoy	36.95293	65.12376	AF	306	Asia/Kabul
Bazarak	35.31292	69.51519	AF	1965	Asia/Kabul
Markaz-e Woluswali-ye Achin	34.12583	70.70778	AF	972	Asia/Kabul
Cool urhajo	34.26545	67.34516	AF	2884	Asia/Kabul
Saint John's	17.11717	-61.84573	AG	4	America/Antigua
The Valley	18.21704	-63.05783	AI	19	America/Anguilla
Sarande	39.87556	20.00528	AL	32	Europe/Tirane
Kukes	42.07694	20.42194	AL	351	Europe/Tirane
Korce	40.61861	20.78083	AL	869	Europe/Tirane
Gjirokaster	40.07583	20.13889	AL	286	Europe/Tirane
Elbasan	41.1125	20.08222	AL	128	Europe/Tirane
Burrel	41.61028	20.00889	AL	315	Europe/Tirane
Vlore	40.46667	19.48972	AL	2	Europe/Tirane
